Product_Name,Total,Selling_Price,Offer,Ratings,Description
"MOTOROLA G32 (Mineral Gray, 128 GB)","₹18,999","₹9,999",47% off,4.1,8 GB RAM | 128 GB ROM 16.51 cm (6.5 inch) Full HD+ Display 50MP + 8MP + 2MP | 16MP Front Camera 5000 mAh Lithium Polymer Battery Qualcomm Snapdragon 680 Processor 1 Year on Handset and 6 Months on Accessories
"REDMI 12 (Pastel Blue, 128 GB)","₹14,999","₹9,499",36% off,4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB 17.25 cm (6.79 inch) Full HD+ Display 50MP + 8MP + 2MP | 8MP Front Camera 5000 mAh Battery Helio G88 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"realme C53 (Champion Gold, 64 GB)","₹12,999","₹9,999",23% off,4.4,6 GB RAM | 64 GB ROM | Expandable Upto 2 TB 17.12 cm (6.74 inch) HD Display 108MP + 2MP | 8MP Front Camera 5000 mAh Battery T612 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme C53 (Champion Black, 128 GB)","₹11,999","₹9,999",16% off,4.1,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB 17.12 cm (6.74 inch) HD Display 108MP + 2MP | 8MP Front Camera 5000 mAh Battery T612 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme C53 (Champion Black, 64 GB)","₹12,999","₹9,999",23% off,4.4,6 GB RAM | 64 GB ROM | Expandable Upto 2 TB 17.12 cm (6.74 inch) HD Display 108MP + 2MP | 8MP Front Camera 5000 mAh Battery T612 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI 12 (Jade Black, 128 GB)","₹14,999","₹9,499",36% off,4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB 17.25 cm (6.79 inch) Full HD+ Display 50MP + 8MP + 2MP | 8MP Front Camera 5000 mAh Battery Helio G88 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"realme C53 (Champion Gold, 128 GB)","₹11,999","₹9,999",16% off,4.1,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB 17.12 cm (6.74 inch) HD Display 108MP + 2MP | 8MP Front Camera 5000 mAh Battery T612 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme C51 (Carbon Black, 128 GB)","₹11,999","₹9,499",20% off,4.3,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB 17.12 cm (6.74 inch) HD Display 50MP + 0.08MP | 5MP Front Camera 5000 mAh Battery T612 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme C51 (Mint Green, 128 GB)","₹11,999","₹9,499",20% off,4.3,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB 17.12 cm (6.74 inch) HD Display 50MP + 0.08MP | 5MP Front Camera 5000 mAh Battery T612 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI 12 (Moonstone Silver, 128 GB)","₹14,999","₹9,499",36% off,4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB 17.25 cm (6.79 inch) Full HD+ Display 50MP + 8MP + 2MP | 8MP Front Camera 5000 mAh Battery Helio G88 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
